client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f2512_54,0,,176,test,0.0,4.136844635009766
f2527_72,0,,143,test,0.0,4.120665073394775
f2564_59,0,,154,test,0.0,4.112032890319824
f2574_64,0,,172,test,0.0,4.105483531951904
f2588_72,0,,167,test,0.058823529411764705,4.107355117797852
f3101_07,0,,174,test,0.0,4.111664772033691
f3115_25,0,,171,test,0.0,4.134068965911865
f3122_40,0,,8,test,0.0,4.242908954620361
f3135_37,0,,183,test,0.0,4.1393842697143555
f3137_47,0,,180,test,0.0,4.12144660949707
f3140_49,0,,175,test,0.0,4.1092071533203125
f3152_47,0,,170,test,0.0,4.101155757904053
f3209_08,0,,182,test,0.0,4.135247707366943
f3220_48,0,,179,test,0.0,4.11945915222168
f3273_45,0,,175,test,0.0,4.163288116455078
f3304_23,0,,184,test,0.0,4.118165493011475
f3313_11,0,,173,test,0.0,4.105989933013916
f3329_30,0,,179,test,0.0,4.1302714347839355
f3342_24,0,,182,test,0.05263157894736842,4.130708694458008
f3359_42,0,,172,test,0.0,4.121471405029297
f3364_36,0,,178,test,0.0,4.11818790435791
f3396_07,0,,180,test,0.0,4.122251510620117
f3404_40,0,,179,test,0.0,4.144747734069824
f3407_40,0,,176,test,0.0,4.144444942474365
f3443_42,0,,149,test,0.0,4.149767875671387
f3444_07,0,,183,test,0.0,4.10896635055542
f3505_39,0,,181,test,0.0,4.127951145172119
f3520_45,0,,150,test,0.0,4.114743709564209
f3535_09,0,,178,test,0.0,4.147740364074707
f3566_36,0,,126,test,0.0,4.118683338165283
f3579_30,0,,153,test,0.0,4.105036735534668
f3634_16,0,,174,test,0.0,4.1284074783325195
f3635_09,0,,155,test,0.0625,4.129299640655518
f3673_48,0,,179,test,0.0,4.151119232177734
f3679_06,0,,177,test,0.0,4.121884822845459
f3733_48,0,,182,test,0.0,4.128364562988281
f3808_45,0,,168,test,0.0,4.131180286407471
f3811_12,0,,181,test,0.0,4.139915466308594
f3839_11,0,,153,test,0.0,4.106688022613525
f3847_24,0,,133,test,0.0,4.096728801727295
f3860_20,0,,166,test,0.0,4.129120826721191
f3868_35,0,,5,test,0.0,4.055395603179932
f3904_45,0,,153,test,0.0,4.10626220703125
f3909_46,0,,169,test,0.0,4.115733623504639
f3933_30,0,,179,test,0.0,4.137518405914307
f3938_46,0,,162,test,0.0,4.11865758895874
f3943_12,0,,180,test,0.0,4.118626594543457
f3964_40,0,,162,test,0.0,4.143784999847412
f3997_45,0,,169,test,0.0,4.123912811279297
f4002_46,0,,182,test,0.0,4.160101413726807
f4033_05,0,,170,test,0.0,4.141146659851074
f4034_28,0,,177,test,0.0,4.141206741333008
f0014_19,1,,379,train,0.02932551319648094,3.736830711364746
